Time (s),$ T_{tr} $ (nexaFoam)_Temp,"$ T_{vib, N_2} $ (nexaFoam)_Temp","$ T_{vib, O_2} $ (nexaFoam)_Temp"
2.79e-07,9653.53,24166.6,11138.7
2.8e-07,9669.06,24115.9,11113.3
2.81e-07,9684.51,24065.1,11088.5
2.82e-07,9699.87,24014.1,11064.3
2.83e-07,9715.15,23963.0,11040.7
2.84e-07,9730.35,23911.8,11017.6
2.85e-07,9745.47,23860.5,10995.2
2.86e-07,9760.5,23809.1,10973.3
2.87e-07,9775.44,23757.6,10951.9
2.88e-07,9790.31,23706.0,10931.2
2.89e-07,9805.09,23654.3,10910.9
2.9e-07,9819.79,23602.5,10891.3
2.91e-07,9834.41,23550.6,10872.1
2.92e-07,9848.95,23498.6,10853.5
2.93e-07,9863.41,23446.5,10835.4
2.94e-07,9877.79,23394.4,10817.9
2.95e-07,9892.08,23342.2,10800.8
2.96e-07,9906.3,23289.9,10784.3
2.97e-07,9920.44,23237.5,10768.3
2.98e-07,9934.5,23185.1,10752.7
2.99e-07,9948.48,23132.6,10737.7
3e-07,9962.38,23080.1,10723.1
3.01e-07,9976.21,23027.5,10709.0
3.02e-07,9989.96,22974.9,10695.4
3.03e-07,10003.6,22922.2,10682.2
3.04e-07,10017.2,22869.5,10669.5
3.05e-07,10030.7,22816.7,10657.3
3.06e-07,10044.2,22763.9,10645.5
3.07e-07,10057.6,22711.1,10634.1
3.08e-07,10070.8,22658.3,10623.2
3.09e-07,10084.1,22605.4,10612.7
3.1e-07,10097.2,22552.5,10602.6
3.11e-07,10110.3,22499.6,10592.9
3.12e-07,10123.3,22446.6,10583.7
3.13e-07,10136.2,22393.7,10574.8
3.14e-07,10149.1,22340.8,10566.3
3.15e-07,10161.8,22287.8,10558.2
3.16e-07,10174.6,22234.9,10550.5
3.17e-07,10187.2,22181.9,10543.2
3.18e-07,10199.8,22129.0,10536.2
3.19e-07,10212.3,22076.1,10529.6
3.2e-07,10224.7,22023.1,10523.4
3.21e-07,10237.1,21970.2,10517.5
3.22e-07,10249.4,21917.4,10511.9
3.23e-07,10261.6,21864.5,10506.7
3.24e-07,10273.8,21811.7,10501.8
3.25e-07,10285.8,21758.9,10497.3
3.26e-07,10297.9,21706.1,10493.1
3.27e-07,10309.8,21653.4,10489.1
3.28e-07,10321.7,21600.7,10485.5
3.29e-07,10333.6,21548.1,10482.2
3.3e-07,10345.3,21495.5,10479.2
3.31e-07,10357.0,21442.9,10476.5
3.32e-07,10368.7,21390.4,10474.1
3.33e-07,10380.2,21338.0,10471.9
3.34e-07,10391.7,21285.6,10470.1
3.35e-07,10403.2,21233.2,10468.4
3.36e-07,10414.6,21181.0,10467.1
3.37e-07,10425.9,21128.8,10466.0
3.38e-07,10437.1,21076.6,10465.2
3.39e-07,10448.3,21024.6,10464.6
3.4e-07,10459.5,20972.6,10464.3
3.41e-07,10470.5,20920.7,10464.2
3.42e-07,10481.5,20868.8,10464.3
3.43e-07,10492.5,20817.1,10464.7
3.44e-07,10503.4,20765.4,10465.3
